
--- LOGICAL GUIDED SEARCH ---
Code family: [1225,65]
Noise level p = 0.03
Search steps = 20
Trials/step = 100
Precision budget = 100000
Score selection: beta=0.3, window=4, top_frac=0.1, min_top=3, max_top=5
Workers = 8
/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/ldpc/code_util/code_util.py:164: UserWarning: This function has exponential complexity. Not recommended for large pcms. Use the                            'ldpc.code_util.estimate_code_distance' function instead.
  warnings.warn(

>>> PHASE 1: Logical-guided search

Step 1/20 (global max dist so far = 6)
Score Info of current state: weight_patterns={6: 2, 7: 0, 8: 4, 9: 0, 10: 22}, score=2.5382
  Target logical weight: 6
  Current distance: 6
  Valid proposal at trial 28/100: distance 8->10, target_weight_before_swap=8, weight_patterns={10: 8, 11: 0, 12: 42, 13: 0, 14: 34}, score=12.0554
  Valid proposal at trial 29/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 12, 11: 0, 12: 34}, score=2.3554
  Valid proposal at trial 30/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 7, 11: 0, 12: 40}, score=1.954
  Rejected at trial 31/100: distance 8->6.
  Rejected at trial 32/100: distance 8->6.
  Valid proposal at trial 33/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 7, 11: 0, 12: 34}, score=2.9054
  Valid proposal at trial 34/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 11, 11: 0, 12: 26}, score=4.2006
  Valid proposal at trial 35/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 9, 11: 0, 12: 36}, score=2.1016
  Rejected at trial 36/100: distance 8->2.
  Valid proposal at trial 37/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 12, 11: 0, 12: 38}, score=4.3878
  Rejected at trial 38/100: distance 8->6.
  Valid proposal at trial 39/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 8, 11: 0, 12: 32}, score=2.9792
  Valid proposal at trial 40/100: distance 8->10, target_weight_before_swap=8, weight_patterns={10: 11, 11: 0, 12: 34, 13: 0, 14: 40}, score=14.384
  Valid proposal at trial 41/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 10, 11: 0, 12: 34}, score=2.1754
  Valid proposal at trial 42/100: distance 8->10, target_weight_before_swap=8, weight_patterns={10: 14, 11: 0, 12: 32, 13: 0, 14: 36}, score=17.1716
  Rejected at trial 43/100: distance 8->6.
  Rejected at trial 44/100: distance 8->6.
  Valid proposal at trial 45/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 4, 9: 0, 10: 9, 11: 0, 12: 28}, score=5.0368
  Valid proposal at trial 46/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 9, 11: 0, 12: 29}, score=3.0449
  Valid proposal at trial 47/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 4, 9: 0, 10: 9, 11: 0, 12: 43}, score=5.1583
  Valid proposal at trial 48/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 8, 11: 0, 12: 32}, score=1.9792
  Valid proposal at trial 49/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 9, 11: 0, 12: 33}, score=3.0773
  Valid proposal at trial 50/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 11, 11: 0, 12: 34}, score=2.2654
  Valid proposal at trial 51/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 4, 9: 0, 10: 8, 11: 0, 12: 36}, score=5.0116
  Valid proposal at trial 52/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 9, 11: 0, 12: 34}, score=2.0854
  Valid proposal at trial 53/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 11, 11: 0, 12: 33}, score=2.2573
  Valid proposal at trial 54/100: distance 8->10, target_weight_before_swap=8, weight_patterns={10: 12, 11: 0, 12: 33, 13: 0, 14: 42}, score=15.3102
  Valid proposal at trial 55/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 12, 11: 0, 12: 30}, score=4.323
  Valid proposal at trial 56/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 11, 11: 0, 12: 27}, score=2.2087
  Valid proposal at trial 57/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 10, 11: 0, 12: 24}, score=4.0944
  Valid proposal at trial 58/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 15, 11: 0, 12: 27}, score=2.5687
  Valid proposal at trial 59/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 9, 11: 0, 12: 34}, score=3.0854
  Rejected at trial 60/100: distance 8->6.
  Valid proposal at trial 61/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 4, 9: 0, 10: 10, 11: 0, 12: 30}, score=5.143
  Valid proposal at trial 62/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 10, 11: 0, 12: 36}, score=2.1916
  Valid proposal at trial 63/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 7, 11: 0, 12: 36}, score=2.9216
